subjectID,yr,lnPubs,gini,rnkCor,p01Pct,mdn01
7,1982,3.820858,.21012744,.45793319,.090634443,8.5
7,1983,3.7880976,.21266325,,.13031438,10
7,1984,3.7730546,.22634028,.27057701,.050590221,4
7,1985,3.7755377,.22267763,.22454733,.033534542,3
7,1986,3.7584577,.22353403,.35431573,.087199166,4
7,1987,3.7905667,.23057227,.40649697,.048590865,10
7,1988,3.8120439,.22110309,.21563321,.061661784,12
7,1989,3.9382193,.24110964,.21671559,.057643533,4
7,1990,4.0662885,.2352438,.54893017,.042922139,3
7,1991,4.0345883,.23594531,.46331564,.02770339,2
7,1992,3.9559281,.25431493,.42576227,.055340342,6
7,1993,4.008728,.26377416,.54380983,.098010391,3.5
7,1994,4.0570574,.2718305,.49361596,.043844264,2
7,1995,4.0100031,.26969558,.60192376,.097723052,4
7,1996,3.9496338,.2777088,.40809578,.078607522,3
7,1997,4.0055666,.27685544,.33099917,.098726429,3
7,1998,3.9585638,.27925858,.62404484,.088008799,4.5
7,1999,3.8863778,.27949831,.45619848,.1039231,5.5
7,2000,3.833657,.27564046,.65486187,.16133763,4
7,2001,3.8695836,.28674716,.53724998,.094517961,8
7,2002,3.8935399,.28830299,.2940084,.17889088,4
7,2003,3.8822968,.29704061,.54000771,.15735641,6
7,2004,3.8602183,.30188301,.4864997,.096578367,3
7,2005,3.8536983,.29877472,.53888291,.098039217,6
7,2006,3.8568497,.30867553,.64067894,.12513904,4
7,2007,3.9211659,.30662942,.65082866,.10791367,1
7,2008,3.9471886,.3209509,.52919537,.056465276,4
7,2009,3.9157164,.30886,.57359105,.097134531,4
7,2010,3.9824522,.30812606,.59849942,.020824656,3.5
7,2011,3.9837165,.31857994,.55647093,.03114618,3
7,2012,3.9782262,.32466391,.55525899,.021028282,1.5
7,2013,4.0649443,.32426852,.5255661,0,
7,2014,4.0050516,.31977969,.42521724,0,
7,2015,3.9729893,,,0,
8,1960,2.1958997,0,,0,
8,1961,2.5010593,.31855074,,0,
8,1962,2.5145478,.31021899,.40232417,0,
8,1963,2.5587087,.27945024,.38932461,0,
8,1964,2.5865872,.22228487,,0,
8,1965,2.8195438,.23704512,.39661145,0,
8,1966,2.7611759,.25720188,.17998552,0,
8,1967,2.7781513,.26481467,.031065019,0,
8,1968,2.6589649,.23312812,.34778824,.21929824,14
8,1969,2.6627579,.2640503,.098593742,0,
8,1970,2.7242758,.24106978,.26255274,.18867925,12
8,1971,2.820858,.2427026,,0,
8,1972,2.8536983,.24829166,.19836991,.14005603,4
8,1973,2.9400182,.23443121,.34302905,.11481056,11
8,1974,2.9991305,.26274323,,0,
8,1975,2.9689498,.24686442,.46845305,.21482277,5.5
8,1976,2.9618955,.3226245,.38976777,0,
8,1977,3.024075,.32593101,.54570055,.18921477,9
8,1978,3.0437551,.27487966,.60966808,.09041591,4
8,1979,3.0759118,.30209595,.42345673,.083963059,4
8,1980,3.1159432,.32024205,.42647174,0,
8,1981,3.0476642,.30741027,.40175751,0,
8,1982,3.062582,.30598271,.51604187,.08658009,3
8,1983,3.2335038,.31529287,.48429909,0,
8,1984,3.1838391,.29634705,.60855466,.065487884,17
8,1985,3.4394906,.3430599,.55390191,0,
8,1986,3.3471348,.31578046,.345678,.04496403,7
8,1987,3.3404441,.3219597,.40768638,.1369863,6
8,1988,3.4109459,.33405995,.26024473,.038819876,10
8,1989,3.3756635,.34264714,.42419592,.08421053,5.5
8,1990,3.2081726,.33835763,.38118339,.12383901,8.5
8,1991,3.2385478,.30653885,.48810583,.23094688,4.5
8,1992,3.4583356,.33956975,.55694664,.13922729,5
8,1993,3.4746532,.33009651,.52078289,.067046598,3.5
8,1994,3.4820156,.32302222,.41025493,.032959789,5
8,1995,3.5641925,.34981179,.44288817,.10911075,2.5
8,1996,3.5208764,.3742263,.41183671,.12055455,4
8,1997,3.6458151,.37645978,.40661302,.067811936,2
8,1998,3.5488806,.38275436,.39774066,.084769711,5
8,1999,3.5565438,.38575023,.32042879,.13881177,2
8,2000,3.5507174,.36580741,.42912245,.14068656,2
8,2001,3.5704262,.36944303,.13064839,.13444474,2
8,2002,3.6711729,.39070237,.42315781,.021321962,2
8,2003,3.4121244,.38341329,.55053145,.11614402,5
8,2004,3.3827372,.38743189,.44296634,.24855012,2
8,2005,3.4159744,.39571074,.33591771,.076745972,1.5
8,2006,3.6008639,.39575168,.50491321,.075206816,2
8,2007,3.8002357,.39622265,.34697631,.1108823,3
8,2008,3.8029106,.40853673,.50827694,.047229219,2
8,2009,3.7961578,.39685419,.58401346,.0479693,4
8,2010,3.7839036,.40172938,.55096591,.065789476,1
8,2011,3.8325088,.42138112,.17405272,.073529415,2
8,2012,3.8069935,.39943966,.5131582,.031191517,1.5
8,2013,3.8211858,.39663917,.28547943,.01509434,1
8,2014,3.7966437,.40032637,.43070725,0,
8,2015,3.6558106,,,0,
9,1960,3.2105861,.035612535,,0,
9,1961,3.0265334,.11927976,,.094073378,49
9,1962,3.1405079,.12725025,,.072358899,7
9,1963,3.1914511,.17304148,.092904039,0,
9,1964,3.1714339,.17295216,.038748041,.13477089,11
9,1965,3.3055663,.15238504,.23808764,.098960914,11
9,1966,3.3354578,.17115575,.053060822,.046189375,5
9,1967,3.2851071,.16743864,.11631631,.10373444,19
9,1968,3.2757719,.1883779,.11045178,.052994169,24
9,1969,3.3362596,.19295734,.40056235,0,
9,1970,3.2380462,.16626909,,.057803467,34
9,1971,3.2695129,.21486549,.24224798,.16129032,7
9,1972,3.2474823,.19503698,.15082373,0,
9,1973,3.3712525,.18617152,-.020528171,.12760527,3
9,1974,3.2946866,.19082506,.1530702,.10147133,11
9,1975,3.2995074,.1927789,.23350824,.050175615,9
9,1976,3.3420277,.18316343,.22247075,0,
9,1977,3.5079908,.19890693,,.24837007,6.5
9,1978,3.4315245,.19806832,.2896609,.074046649,6.5
9,1979,3.4583356,.21690536,.28319597,.10442047,16
9,1980,3.4440448,.20043664,.15079473,.071942449,10.5
9,1981,3.5300715,.20571619,,.029507229,5
9,1982,3.3697722,.18942791,.20382553,.085360646,13.5
9,1983,3.4158077,.18502487,.32039747,.15355086,3.5
9,1984,3.4562142,.17643073,.15700053,.034977265,8
9,1985,3.4225898,.20082285,.050909713,.11337868,8
9,1986,3.4416952,.19791697,.27316356,0,
9,1987,3.4438887,.16811039,.25694281,.215905,4.5
9,1988,3.2739267,.18100393,.23621668,.2128792,6.5
9,1989,3.1878026,.16658518,.19482292,.12978585,3.5
9,1990,3.2437818,.16931763,.21305297,.28522533,5
9,1991,3.2491984,.16079217,.21873128,.056338027,23
9,1992,3.3428173,.20454875,-.02092888,.27247956,5
9,1993,3.2491984,.1819689,-.073882125,.22535211,9
9,1994,3.2103186,.17937045,.038422044,.18484288,6
9,1995,3.1781132,.18172061,-.022591798,.199071,5
9,1996,3.1928461,.19756651,.1099039,.06414368,11
9,1997,3.2337573,.18879765,.13038354,0,
9,1998,3.1914511,.18494885,-.049858477,.51480049,1.5
9,1999,3.1869564,.1462812,.15057498,0,
9,2000,3.1634595,.15534508,.238684,.13726836,7.5
9,2001,3.1711411,.16825409,.19584385,.20229265,0
9,2002,3.1215599,.13815197,,0,
9,2003,3.1467481,.16693974,.19117476,0,
9,2004,3.1445742,.17787783,.21123283,0,
9,2005,3.193681,.16724764,.31822902,.25608194,6
9,2006,3.2390492,.17615584,.42770708,.17301038,2
9,2007,3.3747482,.16790067,.22738689,.12658228,4
9,2008,3.3332458,.15259211,.2530643,0,
9,2009,3.3128119,.16114132,.24839017,.14598539,3
9,2010,3.3186893,.16711567,.30459929,.096015364,0
9,2011,3.3340514,.18690492,,0,
9,2012,3.3445888,.16795704,.17221399,.045228403,1
9,2013,3.3025475,.15798523,.63540399,0,
9,2014,3.3583157,.1696388,.081415109,0,
9,2015,3.3308194,,,0,
10,1975,1.5314789,.16666667,,0,
10,1976,1.6627579,0,,0,
10,1977,1.690196,.14144737,,0,
10,1978,2.5740314,.14683448,,0,
10,1979,2.3654881,.18937197,-.17259617,0,
10,1980,2.665581,.18337278,.11292729,0,
10,1981,2.5899496,.2001711,.23561196,0,
10,1982,2.6946051,.17023951,.028622162,0,
10,1983,2.6981006,.17230041,.34307441,0,
10,1984,2.6180482,.20715784,.20215565,0,
10,1985,2.4199557,.17601974,-.1745144,0,
10,1986,2.5440681,.19878155,.35253626,0,
10,1987,2.6541765,.1732627,.15639092,.22172949,24
10,1988,2.5415792,.16802786,.1994243,0,
10,1989,2.5465426,.20536929,.45708996,0,
10,1990,2.5998831,.20027156,.19863142,0,
10,1991,2.7810369,.19391529,,0,
10,1992,2.4031205,.22309096,,0,
10,1993,2.4842999,.20067219,.2155854,0,
10,1994,2.666518,.23738267,.38758329,0,
10,1995,2.7427251,.18645066,.21804042,0,
10,1996,2.7126496,.23225255,.42158303,0,
10,1997,2.7558749,.21747613,.39440566,0,
10,1998,2.5526683,.23097135,.19109853,0,
10,1999,2.6532125,.20133589,.31919071,0,
10,2000,2.5998831,.1779021,,.25125629,12
10,2001,2.6580114,.19602257,.17357357,0,
10,2002,2.5976951,.18880481,.30495977,.25252524,10
10,2003,2.6283889,.21998475,.27997261,.23529412,11
10,2004,2.7355988,.17708912,.20902146,0,
10,2005,2.9628427,.17571458,.2367679,0,
10,2006,2.7715874,.20027463,.24183464,.33840948,8
10,2007,2.8041394,.22036716,.67020947,0,
10,2008,2.7075701,.21065202,.2397978,0,
10,2009,2.9708116,.19084613,.16857013,0,
10,2010,2.8992732,.20095469,.31983402,0,
10,2011,2.8615344,.22407587,.17842144,0,
10,2012,2.920645,.24242753,.50106668,0,
10,2013,2.7774267,.18214253,.2877956,0,
10,2014,2.7686381,.18107936,.26187515,0,
10,2015,2.7767012,,,0,
11,1960,2.4345689,.18888889,,0,
11,1961,2.70927,.31607866,.38947183,0,
11,1962,2.8773713,.32477403,.36828208,0,
11,1963,2.9339931,.31518117,.22008093,0,
11,1964,2.9459608,.28022903,.18274496,0,
11,1965,3.0004342,.31633863,.24070512,.099900097,3
11,1966,3.075182,.30239579,.32128075,.16820858,5.5
11,1967,2.9863238,.28464639,,.20639835,4
11,1968,2.9498777,.29708147,.44856215,0,
11,1969,3.0906107,.32712528,,0,
11,1970,3.0610752,.3184633,.29761419,.26064292,6
11,1971,3.1055102,.34555537,.27005467,.15686275,5.5
11,1972,3.0777311,.35979569,.50078475,.33444816,4
11,1973,3.1051695,.36268127,.49186811,.39246467,3
11,1974,3.1699681,.31056863,.37892726,.20283976,4
11,1975,3.1296899,.3295337,,.51928782,5
11,1976,3.1752217,.32309851,.38104847,.13360053,6
11,1977,3.2380462,.31744903,,.11560693,8
11,1978,3.2643454,.30909178,.26338714,.10881393,2.5
11,1979,3.2875779,.31964552,.20429166,.10314595,3
11,1980,3.3070679,.30896872,.27203849,.39447731,2.5
11,1981,3.3896976,.33262071,,.28536487,5
11,1982,3.4356852,.36162335,.38372377,.110011,5
11,1983,3.4243915,.35547471,.51520652,.22581859,8.5
11,1984,3.4581845,.36319986,.48841006,.10445683,3
11,1985,3.4995496,.35865229,.54597312,.18993352,5
11,1986,3.581039,.37167928,.40369958,.052479666,3.5
11,1987,3.5291736,.3545748,.48453051,.23654643,6.5
11,1988,3.5435715,.35300937,.44131535,.1430206,5
11,1989,3.5559404,.358486,.26752853,.083402835,3
11,1990,3.6570559,.34447357,.41247031,.066079296,4
11,1991,3.6045501,.35908327,.13557808,.1739995,3
11,1992,3.6059511,.37010977,.28387195,.074331023,4
11,1993,3.8179617,.37510294,.41285366,.16727494,3
11,1994,3.8313577,.37681383,.35271466,.044234738,3
11,1995,3.869173,.38305184,.40808958,.02703068,2.5
11,1996,3.849972,.40268278,.59573257,.098884024,5
11,1997,3.8516252,.39448452,.59120744,.14072615,3.5
11,1998,3.9015129,.40385422,.3562097,.075272866,4.5
11,1999,3.9187641,.3961125,.29627243,.084398359,4
11,2000,3.8742499,.37821981,.63317055,.093507878,5
11,2001,3.7411516,.37128362,.63056415,.036297642,5.5
11,2002,3.7737865,.36977157,.51625472,.084175088,3
11,2003,3.7771368,.3801541,.69175535,.066822588,2.5
11,2004,3.7816837,.36937177,.33152786,.049594976,2
11,2005,3.7712934,.38085926,.54788268,.1523874,4
11,2006,3.7708521,.35878119,.27650276,.11864407,2
11,2007,3.8092229,.35302782,.47310171,.015515904,5
11,2008,3.7868223,.36303687,.35938543,.14703479,2
